Datums;TestuSkaits;ApstiprinataCOVID19InfekcijaSkaits;Ipatsvars;IzarstetoPacientuSkaits;MirusoPersonuSkaits;ApstiprinatiVecGr_0-9Gadi;ApstiprinatiVecGr_10-19Gadi;ApstiprinatiVecGr_20-29Gadi;ApstiprinatiVecGr_30-39Gadi;ApstiprinatiVecGr_40-49Gadi;ApstiprinatiVecGr_50-59Gadi;ApstiprinatiVecGr_60-69Gadi;ApstiprinatiVecGr_70GadiUnVairak;ApstiprinatiVecGr_70-79Gadi;ApstiprinatiVecGr_80GadiUnVairak;IzveselojusosSkaits;14DienuKumulativaSaslimstibaUz100000Iedzivotaju;ApstCOVID19InfSk_NevakcVakcNepab;ApstCOVID19InfSk_Vakc;Population
2021.05.10.;5769;338;5.9;0;1;17;50;32;64;50;49;38;38;25;13;113430;459.5;...;…;1934379
2021.05.11.;17957;659;3.7;0;4;23;57;90;99;123;110;87;70;41;29;114022;462.8;...;…;1934379
2021.05.12.;14603;729;5;0;6;23;45;77;136;131;122;108;87;58;29;114981;450.3;...;…;1934379
2021.05.13.;16417;698;4.2;0;17;34;57;104;125;129;89;88;72;46;26;115670;450.4;...;…;1934379
2021.05.14.;15153;666;4.4;0;8;30;54;83;118;95;111;102;73;39;34;116427;445.3;...;…;1934379
2021.05.15.;14560;544;3.7;0;9;18;56;68;102;95;101;69;35;23;12;117231;431.3;...;…;1934379
2021.05.16.;5590;381;6.8;0;9;20;33;52;64;54;61;50;47;32;15;117606;431.3;...;…;1934379
2021.05.17.;4112;147;3.6;0;3;2;13;13;43;23;24;13;16;9;7;117799;428.4;...;…;1934379
2021.05.18.;18493;563;3;0;11;27;50;55;108;84;98;78;63;37;26;118219;435.6;...;…;1934379
2021.05.19.;14728;609;4.1;0;18;23;43;63;103;107;112;85;73;41;32;118570;448.8;...;…;1934379
2021.05.20.;16546;497;3;0;3;22;42;46;95;90;86;69;47;31;16;119331;434.3;...;…;1934379
2021.05.21.;15458;477;3.1;0;8;13;42;55;90;86;88;49;54;34;20;120348;405;...;…;1934379
2021.05.22.;14100;441;3.1;0;14;24;35;39;75;67;82;64;55;29;26;121123;386.9;...;…;1934379
2021.05.23.;4742;233;4.9;0;3;13;17;21;35;43;45;35;24;14;10;121751;366;...;…;1934379
2021.05.24.;3898;134;3.4;0;2;9;5;19;29;17;22;19;14;6;8;122088;355.3;...;…;1934379
2021.05.25.;16463;435;2.6;0;14;10;36;57;97;79;77;49;30;23;7;122743;343.6;...;…;1934379
2021.05.26.;12790;396;3.1;0;6;21;36;54;79;59;56;43;48;29;19;123466;326.1;...;…;1934379
2021.05.27.;13512;348;2.6;0;7;18;35;45;71;55;40;37;47;26;21;124147;307.8;...;…;1934379
2021.05.28.;14870;354;2.4;0;4;10;35;44;64;60;59;51;31;18;13;124805;291.4;...;…;1934379
2021.05.29.;10929;306;2.8;0;11;21;42;27;66;40;47;31;32;20;12;125340;278.9;...;…;1934379
2021.05.30.;4377;180;4.1;0;0;10;18;17;39;31;33;16;16;10;6;125712;268.4;...;…;1934379
2021.05.31.;3297;101;3.1;0;6;7;9;8;19;11;22;9;16;9;7;125856;266;...;…;1934379
2021.06.01.;14546;319;2.2;0;3;24;35;51;52;42;55;34;26;19;7;126408;255.1;...;…;1934379
2021.06.02.;10427;348;3.3;0;7;14;36;40;72;62;47;46;31;17;14;126999;241.3;...;…;1934379
2021.06.03.;11679;296;2.5;0;6;17;32;35;53;47;46;37;29;20;9;127483;230.7;...;…;1934379
2021.06.04.;10774;259;2.4;0;10;9;22;38;55;39;42;28;26;15;11;127962;219.2;...;…;1934379
2021.06.05.;9367;256;2.7;0;5;11;28;23;36;39;49;40;30;14;16;128389;209.4;...;…;1934379
